gene	expression	threshold	direction
A2M	6.95814667376	6.88435369729996	up
ABCC9	5.79934638752	5.53866052627563	up
AC066694.1	5.02724253597	0	up
AC239868.1	6.3271484083	0	up
AKAP6	6.54596836911	5.89831402897835	up
AMOT	6.45005649389	6.13682898879051	up
ANK2	6.95733424743	6.52760064601898	up
ANKRD12	4.87872534148	4.68535515666008	up
ANO5	5.8554914431	5.72281312942505	up
APC	4.9102529628	3.70744553208351	up
APPL1	5.70708299177	4.85264652967453	up
ARHGAP35	4.88752527074	4.51631212234497	up
ARHGAP5	5.51538446064	4.54623872041702	up
ARID1B	5.15704371015	4.89948856830597	up
ARL1	5.32300971061	5.3145170211792	up
ASH1L	5.04875931192	4.82421523332596	up
ATAD1	5.52669484554	5.2001194357872	up
ATF7IP	5.02680005934	4.37216064333916	up
ATRNL1	4.95930648976	2.81380569934845	up
ATRX	5.28429202639	4.71368682384491	up
B3GALNT2	5.02458563828	4.95047450065613	up
BAZ2B	5.07852444539	4.61233907938004	up
BIRC6	5.22032995488	4.88346201181412	up
BNC2	5.34020617991	2.51627492904663	up
BPTF	5.25889575508	5.12580168247223	up
BRWD1	4.88410945136	4.53681483864784	up
C16orf72	5.58826489431	4.77887615561485	up
C18orf25	4.95373084981	4.32536658644676	up
C7orf73	5.09212284984	5.03312665224075	up
CACNA2D1	6.95314881283	6.48013776540756	up
CAMSAP2	5.18863829456	3.64812612533569	up
CCSER2	6.42928119334	5.4960156083107	up
CEP85	6.75488750216	6.58959323167801	up
CHD2	5.89433274228	5.84357482194901	up
CHD9	5.29682445865	4.54498282074928	up
CLASP1	5.65363331139	5.13129255175591	up
CLIC5	8.22115207225	8.04238647222519	up
COX16	5.79727243203	5.63895356655121	up
CPTP	6.09550251766	5.97591692209244	up
CTAGE5	5.48091134605	4.99731323122978	up
CTB-36O1.7	5.26002565596	0.384805770590901	up
CTNNA3	5.86987140618	3.35091355443001	up
CUL5	5.53946903475	4.92447051405907	up
DBP	5.44028782084	5.37103997170925	up
DDHD2	5.04570506451	4.77242702245712	up
DDX6	5.80245174128	5.08095419406891	up
DIP2C	5.24488705912	4.62774074077606	up
DLAT	6.4546694316	6.37519329786301	up
DMD	7.23304440127	6.41696274280548	up
DNM1L	5.45220004941	5.3171409368515	up
DNMT3A	4.96393645214	3.82159546017647	up
DOCK4	4.86046625852	3.53035616874695	up
DPP8	4.95837871157	4.45072847604752	up
DYRK1A	6.06544306294	5.93731516599655	up
ELF2	5.13832300406	4.99204149842262	up
ELK4	4.88996019966	3.77637529373169	up
EPAS1	6.37155886261	6.20431852340698	up
EPB41L2	5.4979316519	4.99556320905685	up
EPS15	5.86814347967	5.32129794359207	up
ERBB2IP	5.07980475464	4.79889503121376	up
EXOC4	6.03011533091	5.3833504319191	up
FAM160A1	5.51222688651	4.36252510547638	up
FAM210A	4.94345253856	4.50428575277328	up
FAM96A	6.07767027423	5.9119998216629	up
FEM1A	5.43762724832	5.07022097706795	up
FOXN3	6.5199507025	5.91048991680145	up
FP236383.7	10.3490821464	0	up
FP236383.8	10.3490821464	0	up
FP671120.2	10.3490821464	0	up
FTX	4.95093492831	2.58311975002289	up
GATSL2	6.59066189597	6.3628748357296	up
GLS	4.85996954822	4.58647748827934	up
GPATCH2L	4.89044669268	3.85626339912415	up
GPR157	5.61087719947	5.23016220331192	up
HDAC9	4.86839045305	3.89945650100708	up
HELZ	4.91360751182	3.39638769626617	up
HERC1	6.64486572301	6.5141618847847	up
HIPK3	6.81851826931	5.96350193023682	up
HIST1H1E	5.80064109733	0.763647947460413	up
HIST1H4C	5.04526821514	0.352239375934005	up
HIST2H2AC	6.13996056955	1.23622037656605	up
HSD17B12	4.99503219248	4.88828015327454	up
HSPG2	6.6835561075	6.63558661937714	up
IBTK	5.27872821294	4.691286444664	up
INADL	5.43529521565	4.74581629037857	up
IQSEC1	5.15866017535	4.7279959321022	up
ITGA1	5.22226360353	3.41534075140953	up
ITGA6	4.90929308582	4.78118050098419	up
KANSL1	5.89724042557	4.92231664061546	up
KAT2B	5.35120427726	5.33230841159821	up
KIAA1109	5.44294349585	4.94482097029686	up
KIF13A	5.90809234082	5.70721632242203	up
KIF1B	7.704249502	7.63306534290314	up
KLHL24	6.90303827011	6.06727540493011	up
KLHL31	7.51577867192	7.11653172969818	up
KMT2E	5.02281165092	4.54378899931908	up
KPNA4	6.56208975	6.12997448444366	up
LARP4	5.31831684133	5.2863621711731	up
LCOR	4.84999925947	3.06837218999863	up
LNPEP	5.13627342985	3.67633613944054	up
LONP2	5.16912328148	5.14609336853027	up
LPP	5.41515020543	4.39628863334656	up
LYRM7	4.89578731646	4.10643073916435	up
MACROD1	8.12789117555	8.00694841146469	up
MALAT1	12.1585213315	9.3313022851944	up
MASP1	5.37330019661	3.32545563578606	up
MAVS	5.44923120067	5.29820790886879	up
MBNL1	7.65513712588	7.44175964593887	up
MDM4	4.96670731415	3.91250205039978	up
MED13	5.56590176681	4.50643843412399	up
MED13L	4.89093302171	4.71882674098015	up
MED14	5.99208860901	5.74627178907394	up
MIR3648-1	5.86170728659	0	up
MIR3648-2	5.86170728659	0	up
MIR675	9.03655827994	0	up
MRPS30	6.08193608172	5.34817355871201	up
MSI2	6.21761848535	5.60637909173965	up
MSRB3	5.85374619701	5.72725611925125	up
MYLIP	5.39025495632	4.98901283740997	up
Metazoa_SRP	17.4577535133	8.13066589832306	up
N4BP2L2	6.70542503904	6.49604868888855	up
NCOR1	6.11144869849	5.8959733247757	up
NDFIP1	4.96624587322	4.94992372393608	up
NFIA	5.5251292512	3.34056562185287	up
NFIB	5.86369071366	3.88137751817703	up
NFIX	7.97968241372	7.80738693475723	up
NNT-AS1	5.59215800213	4.88024941086769	up
NOS1	5.06867081067	5.05505980551243	up
NPY6R	5.41040894985	4.49000719189644	up
NR1D2	5.66334461937	5.28267392516136	up
NR3C1	5.67722632824	5.30006957054138	up
NRP1	6.24298351611	5.83985671401024	up
NT5C1A	6.26716121802	5.11326679587364	up
NUDT3	5.83567147948	5.36391022801399	up
NXPE3	6.03077747199	6.00376912951469	up
OIP5-AS1	6.57546361208	5.60412484407425	up
OPA1	6.55136220399	5.66659653186798	up
OTUD4	5.63284983012	5.63247859477997	up
PCBD2	5.06436554026	4.9680190384388	up
PCMTD1	6.83617662481	6.18739449977875	up
PCNX	4.90977310414	4.13588666915894	up
PCYOX1	5.81147103053	5.41402366757393	up
PCYT1A	5.8562387599	5.61518156528473	up
PDP1	6.6530600171	4.69187948107719	up
PER3	5.29572302454	5.00719963014126	up
PHC3	5.08023127202	3.43647000193596	up
PHTF2	6.61220503669	6.26733416318893	up
PIAS2	5.1122831086	4.53481355309486	up
PLEC	7.88813438835	7.68287569284439	up
POGZ	5.16872225436	4.83723279833794	up
POLR2M	5.17232749166	4.97939121723175	up
PPARA	5.68846014042	5.04507347941399	up
PPFIBP1	5.16269343221	4.31374001502991	up
PPP1CB	8.02934244869	8.02090805768967	up
PPP1R12A	5.26378561389	4.96525609493256	up
PPP1R12B	7.39343336223	6.79130673408508	up
PPP2R3A	7.30651744525	7.23670941591263	up
PPP2R5C	5.79805051477	5.6438159942627	up
PPP3CA	5.25889575508	4.7969982624054	up
PPP3R1	5.76420813014	5.49494999647141	up
PRKAA2	5.79908730607	5.48974043130875	up
PRKG1	4.92314918047	4.6554933488369	up
PTCD3	6.06630450201	5.99546021223068	up
PTPRB	4.89287670006	3.36030495166779	up
PWAR5	5.13175409098	3.22772125899792	up
QKI	7.82565844493	7.27589082717896	up
RAB4A	5.3600130422	5.33594036102295	up
RALGAPA1	5.33091687811	4.54615321755409	up
RAP2C	5.22804904788	4.65348726511002	up
RAPGEF2	4.91408609701	4.64822313189507	up
RASSF8	4.88068552526	4.1109327673912	up
RBM33	4.94860084749	4.93041330575943	up
RCL1	4.86641348112	4.18535250425339	up
RFTN1	4.86641348112	4.64204335212708	up
RGS5	7.1217407118	6.79327791929245	up
RMRP	12.1217698461	3.3882247209549	up
RN7SK	14.7118411704	6.64969027042389	up
RN7SL1	14.2385062499	6.40118461847305	up
RN7SL4P	6.9464969412	0	up
RNA5SP187	5.72955277045	0	up
RNF144B	5.85049941376	5.55873629450798	up
RNU1-1	10.5914942965	6.60139593482018	up
RNU1-2	6.90376136513	6.63169279694557	up
RNU1-27P	6.90376136513	6.63169279694557	up
RNU1-28P	10.5914942965	6.60139593482018	up
RNU1-3	10.5914942965	6.60139593482018	up
RNU1-4	6.90376136513	6.63169279694557	up
RNU2-2P	6.41667087727	5.96454779861961	up
RNU4-1	6.61176256006	0	up
RNU5A-1	5.48284828307	0	up
RNU5D-1	5.48284828307	0	up
RNVU1-18	10.5914942965	6.60139593482018	up
RNY1	10.5351684343	0	up
ROCK2	5.56529252058	5.30409678816795	up
SCAF11	5.7784714342	5.66702914237976	up
SCAF8	4.96578428466	4.3074224293232	up
SCARNA10	7.45499836344	0.981047917157412	up
SCARNA12	7.27267643564	3.2531111985445	up
SCARNA13	6.40173284952	2.80961666628718	up
SCARNA2	7.95832070561	2.06277185678482	up
SCARNA5	5.96670731415	0	up
SCARNA6	5.01435529298	2.05957412719727	up
SCARNA7	6.32984117653	1.93517938256264	up
SCARNA9	5.15299460549	2.003044500947	up
SCN4B	5.31034012061	4.74032586812973	up
SEMA3C	5.24982454862	4.51832592487335	up
SENP6	5.61028665708	5.41134959459305	up
SETD7	6.50318969917	6.49744987487793	up
SGCB	6.22747154636	6.14833372831345	up
SIRT5	5.03254169727	4.89179018139839	up
SLC16A1	6.37920505996	5.89532500505447	up
SLC25A30	6.26491169307	6.16736048460007	up
SLC30A9	5.26753579807	4.7663437128067	up
SLC35F5	5.15623479785	4.81589412689209	up
SLMAP	6.39557697655	6.26509118080139	up
SMG1P1	5.77214959078	4.6454704105854	up
SMG1P3	5.60584986719	4.89180597662926	up
SNHG22	5.61529857909	3.4015679359436	up
SNORA10	5.36387192486	0	up
SNORA34	7.8745510869	0	up
SNORA38B	5.35755200462	0	up
SNORA40	6.43746079951	5.41487023234367	up
SNORA43	5.11811050561	0	up
SNORA48	8.03908354588	0	up
SNORA54	8.1736771363	0	up
SNORA57	4.99231525186	0	up
SNORA5C	4.91695427895	0	up
SNORA63	10.6776932184	4.60227929055691	up
