gene	expression	threshold	direction
AARSD1	3.97636363573	4.38023293018341	down
AC005062.2	0.411426245726	0.965881854295731	down
AC007318.5	1.64616265716	2.03355076909065	down
AC011737.2	0.941106310946	1.2278054356575	down
AF127577.10	0	0.120280981063843	down
AP003419.11	0	1.98282274603844	down
ART3	4.03121873061	4.6547115445137	down
ASB2	5.75328361646	5.97502827644348	down
ATP2A1	5.98230913013	6.55305635929108	down
ATP5E	4.38335869539	4.63894617557526	down
C17orf89	4.08151006812	4.70038467645645	down
CBWD3	1.49057013045	1.85836511850357	down
CDKL3	0.790772037862	0.813843339681625	down
CHCHD10	7.89645350649	7.95505142211914	down
COX6C	7.81755930685	7.86734819412231	down
CTB-63M22.1	1	1.26322686672211	down
CTC-564N23.2	0	0.136643931269646	down
CTD-2192J16.15	1.56559717585	1.89505475759506	down
EEF1B2	7.71843012855	7.87876200675964	down
EEF1B2P3	1.23266075679	1.46157702803612	down
EEF1G	9.50466011364	9.6374899148941	down
FABP5P7	1.44360665148	2.27714458107948	down
FAM166B	1.93357263826	2.91751080751419	down
FAU	7.82444965136	7.90837073326111	down
FHL3	7.33993905539	7.68845450878143	down
GADD45GIP1	4.02945288579	4.11067616939545	down
GAPDH	11.606072031	11.6645961999893	down
GCSHP5	2.42223300068	3.49782395362854	down
GLTSCR2	6.00495075995	6.09747415781021	down
GMPR	5.90472492839	6.27647620439529	down
HBA1	0	0.860772311687469	down
HBA2	1.33913738492	1.60830336809158	down
HBB	0.722466024471	1.42165213823318	down
HMGB1P5	3.28540221886	3.42195826768875	down
HMGN5	0.495695162624	0.586973294615746	down
HNRNPA2B1	7.72068888533	7.95881187915802	down
HNRNPM	5.03033607837	5.10381555557251	down
HNRNPUL2-BSCL2	0.584962500721	1.63497757911682	down
IGFN1	0.310340120612	0.92762291431427	down
INO80B-WBP1	0	1.21442037820816	down
ISCA1P1	1.6599245584	2.36847543716431	down
MRPL20	5.71534429536	5.90636897087097	down
MRPL52	4.91743175539	4.94794297218323	down
MT-ATP6	11.4944756148	14.3011739253998	down
MT-ATP8	10.8093501287	14.7105716466904	down
MT-CO2	12.1786804106	13.6593023538589	down
MT-CO3	13.5341642487	13.8912327289581	down
MT-CYB	12.1419825716	13.363657951355	down
MT-ND1	11.1766282058	13.1162256002426	down
MT-ND2	10.8480125607	13.1055195331573	down
MT-ND3	12.034400069	12.9562729597092	down
MT-ND4	11.5716910291	13.7378146648407	down
MT-ND4L	12.0088557646	13.0304819345474	down
MT-ND5	10.3071097127	10.5047590732574	down
MT-ND6	10.0962407658	10.5357081890106	down
MT-RNR1	5.98322165074	9.75198471546173	down
MT-RNR2	5.63807383718	11.9540433883667	down
MTATP6P1	8.40892410634	11.2067506313324	down
MTCP1	0.978195629682	2.58595159649849	down
MTND1P23	1.57046293103	2.90109103918076	down
MYBPC2	5.36387192486	5.7482727766037	down
MYH1	4.62468581053	5.06259000301361	down
NARF	4.06695024392	4.18123590946198	down
NDUFAF2	3.56193705962	4.24190670251846	down
NDUFB9	7.91055279343	8.0868114233017	down
NDUFS5	6.65578113825	7.74846255779266	down
OPTN	6.78568131947	6.83415639400482	down
PDAP1	5.71781348972	6.1835116147995	down
PDCD5	5.08406426479	5.5819456577301	down
PFDN2	4.54966917073	4.95587128400803	down
PFKM	7.51908580096	7.68526589870453	down
PGK1	6.52841503928	6.63300108909607	down
PGM1	7.17412673742	7.33915531635284	down
PKDCC	5.1030779466	5.32531541585922	down
PNN	3.24944534109	3.3525927066803	down
POLR2F	4.52669484554	4.5310732126236	down
POLR2J	4.73443866614	5.45097988843918	down
POMT1	3.33771109213	3.36628800630569	down
PRR34-AS1	3.07895134139	3.60167413949966	down
RNA5SP216	0	1.29469537734985	down
SCN1B	6.67341508722	6.70318269729614	down
SH3RF2	1.10433665981	1.17485380172729	down
SHFM1	3.72683121703	5.57123708724976	down
SNHG6	4.86046625852	6.25404191017151	down
SNN	3.47248777146	3.57621598243713	down
SNRPE	3.86393845042	4.04843777418137	down
SNRPEP4	1.46988597627	1.49308085441589	down
SPCS2P4	1.49569516262	1.55860850214958	down
SRP19	3.05311133646	3.91175419092178	down
SSSCA1	4.02768487694	4.21805787086487	down
TBC1D1	3.50334873517	3.82504558563232	down
TNNC2	7.06220807756	10.074162364006	down
TNNI2	6.87848013114	8.6997971534729	down
TNNT3	7.30195339513	9.12247109413147	down
TOMM7	7.44824022522	7.99256181716919	down
TPM1	7.00450139223	7.86695802211761	down
TPT1	12.1279427492	12.2442957162857	down
TRIM52-AS1	3.98732086593	4.20604825019836	down
TRPT1	5.13832300406	5.18775582313538	down
TTN-AS1	6.5505928897	9.88646411895752	down
U2AF1	2.88362081629	3.34787273406982	down
UBXN1	5.21529030565	5.4421865940094	down
UQCRB	7.98834385241	8.0678790807724	down
UQCRHL	1.04963076772	1.18806540966034	down
XXbac-B461K10.4	0.310340120612	0.493330076336861	down
YBX3	9.71776209125	10.2699145078659	down
ZMAT2	4.78398041368	4.88675343990326	down
ZRSR2	1.67807190511	1.9229719042778	down
