gene	expression	threshold	direction
A2M	7.04777829451	6.88435369729996	up
ABCA8	5.86987140618	5.46497303247452	up
ABCC9	5.93333657591	5.53866052627563	up
ABR	5.30924896082	4.60009324550629	up
AC018463.1	4.91169158187	0	up
ACOX1	5.4215599449	5.08604311943054	up
ADIPOQ	5.28503224962	2.10106509923935	up
AKAP13	6.8880125854	6.81731569766998	up
AKAP2	5.04439411936	4.0405250787735	up
AKAP6	6.43212427264	5.89831402897835	up
AMOT	7.08353251327	6.13682898879051	up
ANK2	6.64616265716	6.52760064601898	up
ANKRD12	5.14486214292	4.68535515666008	up
ANTXR1	5.04875931192	4.28860503435135	up
AOC3	5.38577613827	4.82521277666092	up
APBB2	5.55796142689	4.07585534453392	up
APOE	5.66760832567	5.35350802540779	up
APOOL	4.90881290774	3.68510293960571	up
APPL1	5.03518399662	4.85264652967453	up
ARHGAP35	4.9630116476	4.51631212234497	up
ARHGAP5	5.48252564077	4.54623872041702	up
ARHGEF12	6.13463167145	5.46220964193344	up
ARID1B	5.03254169727	4.89948856830597	up
ARL1	5.42189651204	5.3145170211792	up
ATF7IP	5.40769264867	4.37216064333916	up
ATP2B4	5.07681559705	4.06048801541328	up
ATRX	5.53543091487	4.71368682384491	up
BAZ2B	4.96486066425	4.61233907938004	up
BIRC6	5.07937811112	4.88346201181412	up
BPTF	5.33055840003	5.12580168247223	up
BRWD1	4.92314918047	4.53681483864784	up
C16orf72	5.56955185108	4.77887615561485	up
CAB39	6.95756641593	6.75049781799316	up
CACNA2D1	6.56239508229	6.48013776540756	up
CAMSAP2	5.67412163263	3.64812612533569	up
CASZ1	5.41717741191	5.41267746686935	up
CAV1	6.71135723834	6.63997834920883	up
CCDC43	5.19298316997	5.18858349323273	up
CCDC80	7.10402208445	5.56953820586205	up
CCSER2	6.33753270634	5.4960156083107	up
CD248	5.24640808725	4.96487557888031	up
CD36	9.3038720551	8.38880610466003	up
CD93	5.03913839391	4.4523321390152	up
CDC42	6.82374936031	6.38483512401581	up
CDH5	4.97819562968	4.9221907556057	up
CDR1-AS	7.37269096876	0.408735059201717	up
CFL2	9.79134199307	9.65616869926453	up
CHD9	5.30048984436	4.54498282074928	up
CHRDL1	4.94953493302	3.74250060319901	up
CILP	5.19495379593	5.04951772093773	up
CLASP1	5.74765593293	5.13129255175591	up
CLEC3B	6.65849713666	6.48122879862785	up
CNNM4	5.95303237725	5.83775091171265	up
COL14A1	5.12680770314	3.68120980262756	up
COL15A1	6.67905778549	5.94566372036934	up
COL1A1	8.53364121178	5.5726520717144	up
COL1A2	8.11592798919	6.99935281276703	up
COL3A1	8.77541275052	6.22510528564453	up
COL5A1	5.32517051238	3.37365728616714	up
COL6A3	6.80542144617	6.33609294891357	up
CPED1	5.42894634477	5.24152436852455	up
CTAGE5	5.02281165092	4.99731323122978	up
CTNNA3	5.23802251783	3.35091355443001	up
CTNNB1	6.41987593042	6.16838878393173	up
CTNND1	5.09845324631	5.01424726843834	up
CUL2	5.26115467262	5.16200798749924	up
CUL5	5.3476656563	4.92447051405907	up
DDAH1	6.04220656012	5.57645708322525	up
DDX6	6.08363887925	5.08095419406891	up
DLK1	5.72109918871	5.00339850783348	up
DMD	7.10244817793	6.41696274280548	up
DNAJB4	6.25209770304	6.16728276014328	up
DPYSL2	5.41650199287	4.37106892466545	up
DST	7.93174214395	7.91026145219803	up
DYRK1A	6.2673485202	5.93731516599655	up
EHD2	5.49505552837	5.27993085980415	up
ELF2	5.08576455378	4.99204149842262	up
ELK4	5.24754780689	3.77637529373169	up
ENAH	6.76420813014	6.15461817383766	up
ENDOD1	6.13463167145	5.53054279088974	up
EPAS1	6.50032404928	6.20431852340698	up
EPB41L2	5.7300964656	4.99556320905685	up
ERBB2IP	5.85449441815	4.79889503121376	up
ETFDH	6.79856900356	6.69280022382736	up
EXOC4	5.70459534763	5.3833504319191	up
EXTL1	5.64270157183	4.18867060542107	up
FAM110B	5.00405188451	4.78635603189468	up
FAM120A	6.15643706845	6.06363844871521	up
FAM13A	4.91743175539	4.65432044863701	up
FAM160A1	5.19258872157	4.36252510547638	up
FBLN2	6.43978933709	6.08869537711143	up
FBN1	5.99864683901	4.97572332620621	up
FGL2	5.25776496857	2.67186963558197	up
FILIP1	5.94976835993	5.55299109220505	up
FKBP9	5.42794133251	4.9558639228344	up
FOXN3	6.60021027442	5.91048991680145	up
FP236383.5	6.83137058797	0	up
FP236383.7	11.1254457596	0	up
FP236383.8	11.1254457596	0	up
FP671120.2	11.1254457596	0	up
FP671120.5	5.43829285158	0	up
FSTL1	6.84762115579	6.0893158018589	up
GPAM	6.14261765545	3.38297943770885	up
GPBP1L1	5.79649392943	5.75838142633438	up
GSK3B	5.06134418829	4.31229814887047	up
GTF2IP4	5.25134038279	5.20409241318703	up
HEG1	5.36806987653	3.37126502394676	up
HELZ	5.04657836662	3.39638769626617	up
HERC1	7.22997238511	6.5141618847847	up
HIPK3	6.8214551191	5.96350193023682	up
HIST1H1E	6.19692173382	0.763647947460413	up
HIST1H4C	5.56985560833	0.352239375934005	up
HIST1H4E	5.425257872	0	up
HIST1H4H	6.29462074889	6.24725651741028	up
HIST2H2AC	6.22284319311	1.23622037656605	up
HIST2H2BE	6.46988597627	6.149682700634	up
HIVEP2	4.95000174908	4.23682102560997	up
HMGCS2	5.86591881455	3.91867770254612	up
HSPG2	7.20838069361	6.63558661937714	up
IBTK	5.20437551132	4.691286444664	up
IGF2	7.43554525667	6.85822153091431	up
IL6ST	6.31723170022	6.14383506774902	up
INADL	5.26940724085	4.74581629037857	up
INPP4B	4.98868468677	3.65803071856499	up
IQSEC1	5.29498826769	4.7279959321022	up
ITGA1	4.91743175539	3.41534075140953	up
ITGA6	4.92647391126	4.78118050098419	up
ITGAV	5.25738784269	4.42352947592735	up
ITM2A	5.64645070648	5.28721377253532	up
JAK2	4.98913900737	3.85287867486477	up
KAT2B	5.50874555424	5.33230841159821	up
KCTD12	5.43696133783	4.31032231450081	up
KIAA0232	5.22958792274	5.183709025383	up
KIAA1109	5.15704371015	4.94482097029686	up
KIF13A	5.85947266685	5.70721632242203	up
KLHL24	7.02657877013	6.06727540493011	up
KLHL31	7.63814625981	7.11653172969818	up
KMT2E	5.26678654069	4.54378899931908	up
KPNA4	6.28225445201	6.12997448444366	up
KREMEN1	5.92599941856	4.60146814584732	up
KRR1	5.001351893	4.91762980818748	up
