gene	expression	threshold	direction	TH_id	Fay_id
AARSD1	4.02236781303	4.38023293018341	down	TH50_5281_S01	Sample 4
ABCC5	3.40463068422	3.81865274906158	down	TH50_5281_S01	Sample 4
AC002398.12	0.895302621333	1.71660083532333	down	TH50_5281_S01	Sample 4
AC005062.2	0.367371065649	0.965881854295731	down	TH50_5281_S01	Sample 4
AC011737.2	0.641546029088	1.2278054356575	down	TH50_5281_S01	Sample 4
AC018766.4	0.0976107966264	0.421236336231232	down	TH50_5281_S01	Sample 4
AC068831.15	0	0.514405518770218	down	TH50_5281_S01	Sample 4
AC093838.4	1.31614574229	1.39933267235756	down	TH50_5281_S01	Sample 4
ACTR3B	1.85199883711	2.10932821035385	down	TH50_5281_S01	Sample 4
ADCY6	2.25398926623	2.27862066030502	down	TH50_5281_S01	Sample 4
ADM	1.68257329735	1.74201390147209	down	TH50_5281_S01	Sample 4
AF127577.10	0	0.120280981063843	down	TH50_5281_S01	Sample 4
AGAP6	1.83187724119	2.0180546939373	down	TH50_5281_S01	Sample 4
AHSA2	1.92599941856	2.72437185049057	down	TH50_5281_S01	Sample 4
AKAP17A	2.6322682155	2.71754175424576	down	TH50_5281_S01	Sample 4
AL162151.3	0	0.359001100063324	down	TH50_5281_S01	Sample 4
ANAPC2	3.00180224263	3.08149349689484	down	TH50_5281_S01	Sample 4
ANKZF1	2.51349074559	2.61166730523109	down	TH50_5281_S01	Sample 4
ANP32B	3.6182386556	3.79473775625229	down	TH50_5281_S01	Sample 4
AP003419.11	0.97085365434	1.98282274603844	down	TH50_5281_S01	Sample 4
APBB3	2.10097764772	2.27214223146439	down	TH50_5281_S01	Sample 4
ARFGAP1	2.90110824301	3.28401917219162	down	TH50_5281_S01	Sample 4
ARGLU1	4.01703108053	4.4685897231102	down	TH50_5281_S01	Sample 4
ARPC3	3.86591881455	3.90992200374603	down	TH50_5281_S01	Sample 4
ARPC4-TTLL3	0.62293035092	0.690004020929337	down	TH50_5281_S01	Sample 4
ARRB2	1.69599381311	1.69833478331566	down	TH50_5281_S01	Sample 4
ASS1	2.8135246893	3.52582859992981	down	TH50_5281_S01	Sample 4
ATP1B3	2.60407132367	2.66580280661583	down	TH50_5281_S01	Sample 4
ATP5E	4.60644222813	4.63894617557526	down	TH50_5281_S01	Sample 4
ATP6V0E1	4.6182386556	4.86961674690247	down	TH50_5281_S01	Sample 4
BRK1	4.97819562968	5.23069941997528	down	TH50_5281_S01	Sample 4
C17orf89	4.23112515788	4.70038467645645	down	TH50_5281_S01	Sample 4
C1orf35	1.20789285164	1.54319328069687	down	TH50_5281_S01	Sample 4
C21orf59	2.83390207667	2.97676691412926	down	TH50_5281_S01	Sample 4
C7orf55	3.5210507369	3.83342456817627	down	TH50_5281_S01	Sample 4
C9orf78	3.82273014794	3.9650810956955	down	TH50_5281_S01	Sample 4
CARKD	3.27052894238	3.32286411523819	down	TH50_5281_S01	Sample 4
CBWD3	1.75702324651	1.85836511850357	down	TH50_5281_S01	Sample 4
CCDC130	2.72900887034	3.121657371521	down	TH50_5281_S01	Sample 4
CCDC84	2.59693514239	2.78253147006035	down	TH50_5281_S01	Sample 4
CCNL2	3.89141918685	4.57613003253937	down	TH50_5281_S01	Sample 4
CCS	2.61117238004	2.68243438005447	down	TH50_5281_S01	Sample 4
CDK11A	2.45680614923	2.93702161312103	down	TH50_5281_S01	Sample 4
CDK5RAP3	3.41953889151	3.47069185972214	down	TH50_5281_S01	Sample 4
CDKN1A	0.773996325111	2.92955374717712	down	TH50_5281_S01	Sample 4
CEP131	1.0071955014	1.03935274481773	down	TH50_5281_S01	Sample 4
CFAP36	1.57046293103	1.78505992889404	down	TH50_5281_S01	Sample 4
CFAP61	0.565597175854	1.79746636748314	down	TH50_5281_S01	Sample 4
CFDP1	2.55826763406	2.86242669820786	down	TH50_5281_S01	Sample 4
CH507-42P11.8	0.66902676551	0.787744522094727	down	TH50_5281_S01	Sample 4
CHKA	1.46988597627	1.91065734624863	down	TH50_5281_S01	Sample 4
CHKB	2.58976348698	2.63358584046364	down	TH50_5281_S01	Sample 4
CHMP4A	2.08746284125	2.86025813221931	down	TH50_5281_S01	Sample 4
CIB1	3.09254574154	3.12729871273041	down	TH50_5281_S01	Sample 4
CKB	1.97819562968	2.21110302209854	down	TH50_5281_S01	Sample 4
