gene	expression	threshold	direction	TH_id	Fay_id
AC005062.2	0.163498732283	0.965881854295731	down	TH50_5181_S01	Sample 8
AC007318.5	1.7398481027	2.03355076909065	down	TH50_5181_S01	Sample 8
AC011737.2	0.20163386117	1.2278054356575	down	TH50_5181_S01	Sample 8
AF127577.10	0	0.120280981063843	down	TH50_5181_S01	Sample 8
AL162151.3	0	0.359001100063324	down	TH50_5181_S01	Sample 8
AP003419.11	0	1.98282274603844	down	TH50_5181_S01	Sample 8
ARFGAP1	3.28095631383	3.28401917219162	down	TH50_5181_S01	Sample 8
BTF3L4P2	2.60644222813	2.66504913568497	down	TH50_5181_S01	Sample 8
C17orf89	3.94673086014	4.70038467645645	down	TH50_5181_S01	Sample 8
CATSPER3	0.17632277264	0.224995836615562	down	TH50_5181_S01	Sample 8
CCDC124	5.02768487694	5.05176967382431	down	TH50_5181_S01	Sample 8
CCNL2	4.37225564845	4.57613003253937	down	TH50_5181_S01	Sample 8
CDK11A	2.45417589319	2.93702161312103	down	TH50_5181_S01	Sample 8
CDK11B	3.19534759832	3.39969998598099	down	TH50_5181_S01	Sample 8
CDKN1A	1.58014548442	2.92955374717712	down	TH50_5181_S01	Sample 8
CH507-42P11.8	0.731183241572	0.787744522094727	down	TH50_5181_S01	Sample 8
COX6C	7.67673284609	7.86734819412231	down	TH50_5181_S01	Sample 8
CTB-79E8.3	0	0.518216550350189	down	TH50_5181_S01	Sample 8
CTC-564N23.2	0	0.136643931269646	down	TH50_5181_S01	Sample 8
CTD-2192J16.22	0.389566811763	0.588261961936951	down	TH50_5181_S01	Sample 8
DNAJB11	3.21101219349	3.48974514007568	down	TH50_5181_S01	Sample 8
EPB41L4A-AS1	1.26903314646	1.67845559120178	down	TH50_5181_S01	Sample 8
FABP5P7	0	2.27714458107948	down	TH50_5181_S01	Sample 8
FAM156A	0.992768430769	1.21749699115753	down	TH50_5181_S01	Sample 8
FAM50A	4.16027483141	4.25234121084213	down	TH50_5181_S01	Sample 8
GADD45A	1.60407132367	1.75088214874268	down	TH50_5181_S01	Sample 8
GADD45GIP1	3.66334461937	4.11067616939545	down	TH50_5181_S01	Sample 8
GCSHP5	2.72683121703	3.49782395362854	down	TH50_5181_S01	Sample 8
GPX3	5.6383635059	5.68126446008682	down	TH50_5181_S01	Sample 8
GRASP	1.62760683813	1.88351944088936	down	TH50_5181_S01	Sample 8
HBA1	0	0.860772311687469	down	TH50_5181_S01	Sample 8
HBB	0.678071905113	1.42165213823318	down	TH50_5181_S01	Sample 8
HMGB1P5	2.017921908	3.42195826768875	down	TH50_5181_S01	Sample 8
HNRNPM	4.89675621847	5.10381555557251	down	TH50_5181_S01	Sample 8
HNRNPUL2-BSCL2	1.41142624573	1.63497757911682	down	TH50_5181_S01	Sample 8
HSPE1-MOB4	0	0.511609703302383	down	TH50_5181_S01	Sample 8
IL17RC	2.43028527298	2.72831058502197	down	TH50_5181_S01	Sample 8
INO80B-WBP1	0	1.21442037820816	down	TH50_5181_S01	Sample 8
KIF9	1.08406426479	1.08472761511803	down	TH50_5181_S01	Sample 8
LAMA5	2.73335434061	2.89640218019485	down	TH50_5181_S01	Sample 8
LAS1L	2.3015876466	2.39753478765488	down	TH50_5181_S01	Sample 8
LUC7L3	4.58796498888	4.93976300954819	down	TH50_5181_S01	Sample 8
MRFAP1	6.36422222109	6.4520211815834	down	TH50_5181_S01	Sample 8
MRPL20	5.78476569632	5.90636897087097	down	TH50_5181_S01	Sample 8
MRPL52	4.63575439128	4.94794297218323	down	TH50_5181_S01	Sample 8
MT-ATP6	12.2494720074	14.3011739253998	down	TH50_5181_S01	Sample 8
MT-ATP8	11.8964005254	14.7105716466904	down	TH50_5181_S01	Sample 8
MT-CO2	13.1728759371	13.6593023538589	down	TH50_5181_S01	Sample 8
MT-CYB	12.7630878481	13.363657951355	down	TH50_5181_S01	Sample 8
MT-ND1	12.2372398423	13.1162256002426	down	TH50_5181_S01	Sample 8
MT-ND2	11.5838396547	13.1055195331573	down	TH50_5181_S01	Sample 8
MT-ND3	12.7512678787	12.9562729597092	down	TH50_5181_S01	Sample 8
MT-ND4	12.4859198516	13.7378146648407	down	TH50_5181_S01	Sample 8
MT-ND4L	12.3475798476	13.0304819345474	down	TH50_5181_S01	Sample 8
MT-RNR1	4.85299758761	9.75198471546173	down	TH50_5181_S01	Sample 8
MT-RNR2	4.53667461757	11.9540433883667	down	TH50_5181_S01	Sample 8
MTATP6P1	9.38640142364	11.2067506313324	down	TH50_5181_S01	Sample 8
MTCP1	0.584962500721	2.58595159649849	down	TH50_5181_S01	Sample 8
MTERF2	2.36737106565	2.40029352903366	down	TH50_5181_S01	Sample 8
MYEOV2	5.47767732757	5.49351012706757	down	TH50_5181_S01	Sample 8
NDUFAF2	3.87872534148	4.24190670251846	down	TH50_5181_S01	Sample 8
NDUFB9	7.88941269885	8.0868114233017	down	TH50_5181_S01	Sample 8
NDUFS5	6.43479500355	7.74846255779266	down	TH50_5181_S01	Sample 8
NDUFV2P1	0.985500430305	1.00925636291504	down	TH50_5181_S01	Sample 8
NME3	2.65076455912	2.82995468378067	down	TH50_5181_S01	Sample 8
NPIPA5	5.22843392051	5.25465369224548	down	TH50_5181_S01	Sample 8
PDAP1	5.91767043436	6.1835116147995	down	TH50_5181_S01	Sample 8
PDCD5	4.15623479785	5.5819456577301	down	TH50_5181_S01	Sample 8
PFDN2	4.44890095115	4.95587128400803	down	TH50_5181_S01	Sample 8
PI4KAP2	1.35049724708	1.82340186834335	down	TH50_5181_S01	Sample 8
PIDD1	1.77399632511	1.88563871383667	down	TH50_5181_S01	Sample 8
PNN	2.8052924556	3.3525927066803	down	TH50_5181_S01	Sample 8
POLR2J	4.87921563717	5.45097988843918	down	TH50_5181_S01	Sample 8
PRR34-AS1	3.13586316537	3.60167413949966	down	TH50_5181_S01	Sample 8
RHOT2	4.03386345187	4.22767472267151	down	TH50_5181_S01	Sample 8
RNA5SP216	0	1.29469537734985	down	TH50_5181_S01	Sample 8
SARNP	4.44691786487	4.54013985395432	down	TH50_5181_S01	Sample 8
SHFM1	3.6264391367	5.57123708724976	down	TH50_5181_S01	Sample 8
SLCO4A1	1.0285691522	1.40261840820312	down	TH50_5181_S01	Sample 8
SNHG19	2.83390207667	3.04878813028336	down	TH50_5181_S01	Sample 8
SNHG5	6.65678236422	6.80506181716919	down	TH50_5181_S01	Sample 8
SNHG6	5.76128527336	6.25404191017151	down	TH50_5181_S01	Sample 8
SNRPE	3.55090066465	4.04843777418137	down	TH50_5181_S01	Sample 8
SNRPF	2.02147972741	2.34266364574432	down	TH50_5181_S01	Sample 8
SPCS2P4	0.613531652918	1.55860850214958	down	TH50_5181_S01	Sample 8
SRP19	3.67919857057	3.91175419092178	down	TH50_5181_S01	Sample 8
SRSF5	6.19633163427	6.20713806152344	down	TH50_5181_S01	Sample 8
TCEAL3	1.66902676551	1.8787813782692	down	TH50_5181_S01	Sample 8
TCEAL4	3.9221978484	4.13967382907867	down	TH50_5181_S01	Sample 8
TIMM44	4.58195375085	4.80256152153015	down	TH50_5181_S01	Sample 8
TMEM265	0	0.927516639232635	down	TH50_5181_S01	Sample 8
TOMM7	7.65835431677	7.99256181716919	down	TH50_5181_S01	Sample 8
TSR3	4.13339912542	4.27267444133759	down	TH50_5181_S01	Sample 8
TST	3.08746284125	3.20559793710709	down	TH50_5181_S01	Sample 8
TTN-AS1	6.69460165336	9.88646411895752	down	TH50_5181_S01	Sample 8
U2AF1	2.89141918685	3.34787273406982	down	TH50_5181_S01	Sample 8
UBL5	6.89953819259	6.91627645492554	down	TH50_5181_S01	Sample 8
UPP1	1.18269229752	1.78958508372307	down	TH50_5181_S01	Sample 8
UQCR11	6.80167602925	7.01369458436966	down	TH50_5181_S01	Sample 8
UQCRB	7.98726401207	8.0678790807724	down	TH50_5181_S01	Sample 8
UQCRHL	0.782408564927	1.18806540966034	down	TH50_5181_S01	Sample 8
XXbac-B461K10.4	0.111031312389	0.493330076336861	down	TH50_5181_S01	Sample 8
ZRSR2	1.88752527074	1.9229719042778	down	TH50_5181_S01	Sample 8
