gene	expression	threshold	direction	TH_id	Fay_id	count
AARSD1	3.92124588859	4.38023293018341	down	TH50_5178_S01	Sample 1	5
ABCC5	3.62993940944	3.81865274906158	down	TH50_5178_S01	Sample 1	2
AC002398.12	1.23266075679	1.71660083532333	down	TH50_5178_S01	Sample 1	3
AC005062.2	0.0840642647885	0.965881854295731	down	TH50_5178_S01	Sample 1	6
AC005154.6	2.59454854955	2.64480292797089	down	TH50_5178_S01	Sample 1	1
AC007318.5	1.748461233	2.03355076909065	down	TH50_5178_S01	Sample 1	4
AC011737.2	0.985500430305	1.2278054356575	down	TH50_5178_S01	Sample 1	6
AC016739.2	1.94860084749	2.07443207502365	down	TH50_5178_S01	Sample 1	3
AC018766.4	0	0.421236336231232	down	TH50_5178_S01	Sample 1	2
AC093838.4	1.25096157353	1.39933267235756	down	TH50_5178_S01	Sample 1	3
ACAP3	2.81557542886	2.83940094709396	down	TH50_5178_S01	Sample 1	2
ACD	1.5210507369	1.56924605369568	down	TH50_5178_S01	Sample 1	1
ACTN1	1.68706068834	1.90263485908508	down	TH50_5178_S01	Sample 1	1
ACTR3B	1.94485844581	2.10932821035385	down	TH50_5178_S01	Sample 1	2
ADAMTS1	2.30742852519	2.68818825483322	down	TH50_5178_S01	Sample 1	1
ADM	1.71369581484	1.74201390147209	down	TH50_5178_S01	Sample 1	2
ADPGK	1.36737106565	1.40731054544449	down	TH50_5178_S01	Sample 1	1
AF127577.10	0	0.120280981063843	down	TH50_5178_S01	Sample 1	6
AGAP6	1.70929063572	2.0180546939373	down	TH50_5178_S01	Sample 1	4
AHSA2	2.40871186103	2.72437185049057	down	TH50_5178_S01	Sample 1	3
AKAP17A	2.48284828307	2.71754175424576	down	TH50_5178_S01	Sample 1	2
AKAP8L	3.82883464947	3.8963475227356	down	TH50_5178_S01	Sample 1	1
AL162151.3	0	0.359001100063324	down	TH50_5178_S01	Sample 1	4
ANKZF1	2.59693514239	2.61166730523109	down	TH50_5178_S01	Sample 1	2
ANP32B	3.48542682717	3.79473775625229	down	TH50_5178_S01	Sample 1	2
AP000892.6	0.163498732283	0.206033900380135	down	TH50_5178_S01	Sample 1	1
AP003419.11	0.422233000683	1.98282274603844	down	TH50_5178_S01	Sample 1	6
AP2A2	2.68481873755	2.76006186008453	down	TH50_5178_S01	Sample 1	1
APBB3	2.13093086983	2.27214223146439	down	TH50_5178_S01	Sample 1	3
APOD	5.53356334821	6.10809457302094	down	TH50_5178_S01	Sample 1	2
ARFGAP1	3.19692173382	3.28401917219162	down	TH50_5178_S01	Sample 1	2
ARGLU1	4.04526821514	4.4685897231102	down	TH50_5178_S01	Sample 1	4
ARHGEF1	2.40053792958	2.63494247198105	down	TH50_5178_S01	Sample 1	1
ARPC4-TTLL3	0.545968369105	0.690004020929337	down	TH50_5178_S01	Sample 1	2
ATHL1	0.765534746363	1.12822636961937	down	TH50_5178_S01	Sample 1	1
ATP6V0E1	4.72846476509	4.86961674690247	down	TH50_5178_S01	Sample 1	3
ATXN10	4.53418613909	4.57635724544525	down	TH50_5178_S01	Sample 1	1
BHLHE40	3.90689059561	4.12675178050995	down	TH50_5178_S01	Sample 1	1
BRK1	5.21800615028	5.23069941997528	down	TH50_5178_S01	Sample 1	2
BTNL9	2.92979099772	2.95529770851135	down	TH50_5178_S01	Sample 1	1
C17orf89	4.49633451342	4.70038467645645	down	TH50_5178_S01	Sample 1	6
C1S	3.57893871309	3.67023313045502	down	TH50_5178_S01	Sample 1	1
C3	2.45943161864	3.30555307865143	down	TH50_5178_S01	Sample 1	1
C9orf78	3.9643986322	3.9650810956955	down	TH50_5178_S01	Sample 1	3
CACNA1H	0.731183241572	0.765082135796547	down	TH50_5178_S01	Sample 1	1
CAMTA2	4.05050169745	4.18441373109818	down	TH50_5178_S01	Sample 1	1
CARKD	3.06867081067	3.32286411523819	down	TH50_5178_S01	Sample 1	2
CBWD3	1.49057013045	1.85836511850357	down	TH50_5178_S01	Sample 1	3
CCDC124	5.01122725542	5.05176967382431	down	TH50_5178_S01	Sample 1	2
CCDC130	2.95046841415	3.121657371521	down	TH50_5178_S01	Sample 1	3
CCDC23	2.41953889151	2.55445036292076	down	TH50_5178_S01	Sample 1	1
CCDC84	2.3812833725	2.78253147006035	down	TH50_5178_S01	Sample 1	2
CCL14	1.46988597627	1.76657992601395	down	TH50_5178_S01	Sample 1	1
CCNL2	3.9909548604	4.57613003253937	down	TH50_5178_S01	Sample 1	4
CCT6P1	0.150559676575	0.241647228598595	down	TH50_5178_S01	Sample 1	1
CCZ1B	2.76977173925	3.09109902381897	down	TH50_5178_S01	Sample 1	1
CDK11A	2.27202318906	2.93702161312103	down	TH50_5178_S01	Sample 1	5
CDKN1A	1.06350294231	2.92955374717712	down	TH50_5178_S01	Sample 1	5
CENPT	2.72465027173	2.99412855505943	down	TH50_5178_S01	Sample 1	1
CEP131	0.863938450424	1.03935274481773	down	TH50_5178_S01	Sample 1	2
